Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Coromandel International Ltd.,Chemicals,Mid-Cap,February-2026,27181,6.12
Metropolis Healthcare Ltd.,Healthcare,Small-Cap,February-2026,31670,5.98
Ganesha Ecosphere Ltd.,Textile,Small-Cap,February-2026,79795,5.82
Jyothy Labs Ltd.,FMCG,Small-Cap,February-2026,231664,5.82
Rallis India Ltd.,Chemicals,Small-Cap,February-2026,210087,5.79
Mahindra Holidays & Resorts India Ltd.,Travel,Small-Cap,February-2026,195086,5.66
M&B Engineering Ltd.,Capital Goods,Small-Cap,February-2026,176612,5.43
Ashapura Minechem Ltd.,Energy,Small-Cap,February-2026,81243,5.32
AGI Greenpac Ltd.,FMCG,Small-Cap,February-2026,90500,5.25
Bharat Rasayan Ltd.,Chemicals,Small-Cap,February-2026,30610,5.17
Raymond Realty Ltd.,Construction,Small-Cap,February-2026,111638,5.17
Rain Industries Ltd.,Energy,Small-Cap,February-2026,301793,4.58
Usha Martin Ltd.,Metals,Small-Cap,February-2026,110622,4.58
Atlanta Electricals Ltd.,Capital Goods,Small-Cap,February-2026,52850,4.47
Nilkamal Ltd.,Consumer Durables,Small-Cap,February-2026,31891,4.41
Brigade Hotel Ventures Ltd.,Travel,Small-Cap,February-2026,724324,4.4
Bharat Bijlee Ltd.,Capital Goods,Small-Cap,February-2026,16448,4.32
Epigral Ltd.,Chemicals,Small-Cap,February-2026,44499,4.31
Subros Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,52931,4.24
Quality Power Electrical Equipments Ltd.,Capital Goods,Small-Cap,February-2026,55188,4.23
Rolex Rings Ltd,Automobile and Ancillaries,Small-Cap,February-2026,325569,4.16
Relaxo Footwears Ltd.,FMCG,Small-Cap,February-2026,109637,4.05
Unimech Aerospace and Manufacturing Ltd.,Capital Goods,Small-Cap,February-2026,45968,4.04
ITC Hotels Ltd.,Travel,Mid-Cap,February-2026,220917,3.94
Time Technoplast Ltd.,Consumer Durables,Small-Cap,February-2026,215976,3.93
Sheela Foam Ltd.,FMCG,Small-Cap,February-2026,73125,3.9
Concord Enviro Systems Ltd.,Miscellaneous,Small-Cap,February-2026,107304,3.88
Sundaram-Clayton Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,29056,3.87
Abbott India Ltd.,Healthcare,Mid-Cap,February-2026,1403,3.79
Garden Reach Shipbuilders & Engineers Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,14598,3.79
Matrimony.Com Ltd.,Technology,Small-Cap,February-2026,81734,3.77
Jindal Steel Ltd.,Metals,Large-Cap,February-2026,31258,3.71
Railtel Corporation Of India Ltd.,Media and Communications,Small-Cap,February-2026,110770,3.69
Landmark Cars Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,91497,3.68
Roto Pumps Ltd.,Capital Goods,Small-Cap,February-2026,638951,3.61
E2E Networks Ltd.,Technology,Small-Cap,February-2026,14593,3.43
Laxmi Dental Ltd.,Healthcare,Small-Cap,February-2026,171876,3.28
Nuvoco Vistas Corporation Ltd.,Construction,Small-Cap,February-2026,96817,3.27
IKIO Technologies Ltd.,Capital Goods,Small-Cap,February-2026,217416,3.17
STL Networks Ltd.,Media and Communications,Small-Cap,February-2026,1548479,3.16
Standard Engineering Technology Ltd.,Capital Goods,Small-Cap,February-2026,251660,3.02
Crizac Ltd.,Retail and Other Services,Small-Cap,February-2026,120840,2.92
Vedant Fashions Ltd.,Textile,Small-Cap,February-2026,65633,2.87
Rossari Biotech Ltd.,Chemicals,Small-Cap,February-2026,54102,2.87
Natco Pharma Ltd.,Healthcare,Small-Cap,February-2026,31359,2.86
Esab India Ltd.,Capital Goods,Small-Cap,February-2026,4859,2.69
CSB Bank Ltd.,Financials,Small-Cap,February-2026,62780,2.62
