Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Nuvoco Vistas Corporation Ltd.,Construction,Small-Cap,December-2025,116233,4.14
Jana Small Finance Bank Ltd.,Financials,Small-Cap,December-2025,92888,4.08
Tanla Platforms Ltd.,Technology,Small-Cap,December-2025,75214,4.06
Transrail Lighting Ltd.,Capital Goods,Small-Cap,December-2025,66709,3.98
Punjab & Sind Bank,Financials,Small-Cap,December-2025,1377661,3.97
Banco Products (India) Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,57486,3.93
Sanstar Ltd.,FMCG,Small-Cap,December-2025,416773,3.93
Stove Kraft Ltd.,Consumer Durables,Small-Cap,December-2025,64404,3.82
Sula Vineyards Ltd.,FMCG,Small-Cap,December-2025,168770,3.8
Arman Financial Services Ltd.,Financials,Small-Cap,December-2025,22594,3.61
Unicommerce eSolutions Ltd.,Technology,Small-Cap,December-2025,289365,3.58
Concord Enviro Systems Ltd.,Miscellaneous,Small-Cap,December-2025,82384,3.55
EPL Ltd.,FMCG,Small-Cap,December-2025,168264,3.53
RK Swamy Ltd.,Media and Communications,Small-Cap,December-2025,296173,3.46
Innova Captab Ltd.,Healthcare,Small-Cap,December-2025,47475,3.41
Pfizer Ltd.,Healthcare,Small-Cap,December-2025,6684,3.33
Sandhar Technologies Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,59412,3.3
Maharashtra Seamless Ltd.,Metals,Small-Cap,December-2025,56669,3.26
Yash Highvoltage Ltd.,Capital Goods,Small-Cap,December-2025,72000,3.25
Nirlon Ltd.,Infrastructure,Small-Cap,December-2025,64020,3.2
NMDC Steel Ltd.,Metals,Small-Cap,December-2025,731779,3.15
Shriram Pistons & Rings Ltd,Automobile and Ancillaries,Small-Cap,December-2025,10725,3.14
Allied Blenders And Distillers Ltd.,FMCG,Small-Cap,December-2025,49225,3.12
Elecon Engineering Company Ltd.,Capital Goods,Small-Cap,December-2025,62245,3.07
M&B Engineering Ltd.,Capital Goods,Small-Cap,December-2025,76121,2.94
Happiest Minds Technologies Ltd.,Technology,Small-Cap,December-2025,60938,2.92
Diamond Power Infrastructure Ltd.,Capital Goods,Small-Cap,December-2025,201394,2.9
IFB Industries Ltd.,Consumer Durables,Small-Cap,December-2025,17156,2.77
Laxmi Dental Ltd.,Healthcare,Small-Cap,December-2025,99546,2.74
Geojit Financial Services Ltd.,Financials,Small-Cap,December-2025,357054,2.65
Cyient DLM Ltd.,Capital Goods,Small-Cap,December-2025,62308,2.63
Nava Ltd.,Metals,Small-Cap,December-2025,48049,2.62
Borosil Renewables Ltd.,Construction,Small-Cap,December-2025,45823,2.58
Ingersoll-Rand (India) Ltd.,Capital Goods,Small-Cap,December-2025,7019,2.54
Grindwell Norton Ltd.,Capital Goods,Small-Cap,December-2025,15654,2.44
Esab India Ltd.,Capital Goods,Small-Cap,December-2025,4130,2.43
Canara Robeco Asset Management Co Ltd.,Financials,Small-Cap,December-2025,78083,2.41
Lumax Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,4427,2.4
