Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
SBFC Finance Ltd.,Financials,Small-Cap,February-2026,1732153,15.46
Carraro India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,287396,15.00
Cemindia Projects Ltd.,Infrastructure,Small-Cap,February-2026,246438,14.98
3M India Ltd.,Diversified,Mid-Cap,February-2026,4150,14.92
Bajaj Electricals Ltd.,Consumer Durables,Small-Cap,February-2026,382646,14.91
VA Tech Wabag Ltd.,Miscellaneous,Small-Cap,February-2026,125493,14.70
Sun TV Network Ltd.,Media and Communications,Small-Cap,February-2026,243898,14.68
Fedbank Financial Services Ltd,Financials,Small-Cap,February-2026,1022046,14.48
Thangamayil Jewellery Ltd.,Retail and Other Services,Small-Cap,February-2026,38628,14.06
Cigniti Technologies Ltd.,Technology,Small-Cap,February-2026,99365,13.88
Gujarat Mineral Development Corporation Ltd.,Energy,Small-Cap,February-2026,235699,13.52
Gabriel India Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,136301,13.17
Sumitomo Chemical India Ltd.,Chemicals,Small-Cap,February-2026,323688,13.12
Kirloskar Ferrous Industries Ltd.,Metals,Small-Cap,February-2026,296842,12.54
Jindal Stainless Ltd.,Metals,Mid-Cap,February-2026,154510,12.35
Astrazeneca Pharma India Ltd.,Healthcare,Small-Cap,February-2026,13981,12.16
Arvind Ltd.,Textile,Small-Cap,February-2026,363717,12.08
GHCL Ltd.,Chemicals,Small-Cap,February-2026,238627,12.05
Can Fin Homes Ltd.,Financials,Small-Cap,February-2026,134193,11.92
Equitas Small Finance Bank Ltd.,Financials,Small-Cap,February-2026,1722554,11.58
Bharti Hexacom Ltd.,Media and Communications,Mid-Cap,February-2026,72582,11.44
Vinati Organics Ltd.,Chemicals,Small-Cap,February-2026,75913,11.38
Cohance Lifesciences Ltd.,Healthcare,Small-Cap,February-2026,320387,11.07
Canara HSBC Life Insurance Company Ltd.,Financials,Small-Cap,February-2026,756642,10.99
Zydus Wellness Ltd.,FMCG,Small-Cap,February-2026,261305,10.89
LG Balakrishnan & Bros Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,59408,10.86
Fiem Industries Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,49025,10.66
Belrise Industries Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,592275,10.62
Aditya Birla Lifestyle Brands Ltd.,Retail and Other Services,Small-Cap,February-2026,1013563,10.50
Saatvik Green Energy Ltd.,Capital Goods,Small-Cap,February-2026,275192,10.46
Jubilant Pharmova Ltd.,Healthcare,Small-Cap,February-2026,113099,10.45
India Shelter Finance Corporation Ltd.,Financials,Small-Cap,February-2026,133058,10.22
Force Motors Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,4635,10.09
Arvind Fashions Ltd.,Retail and Other Services,Small-Cap,February-2026,219863,10.01
Metro Brands Ltd.,Retail and Other Services,Small-Cap,February-2026,94528,9.96
Asahi India Glass Ltd.,Construction,Small-Cap,February-2026,104593,9.95
Indian Metals & Ferro Alloys Ltd.,Metals,Small-Cap,February-2026,79063,9.61
Shriram Pistons & Rings Ltd,Automobile and Ancillaries,Small-Cap,February-2026,32328,9.48
Godawari Power And Ispat Ltd.,Metals,Small-Cap,February-2026,366122,9.42
Kirloskar Brothers Ltd.,Capital Goods,Small-Cap,February-2026,58815,9.26
Havells India Ltd.,Capital Goods,Mid-Cap,February-2026,67823,9.10
Eris Lifesciences Ltd.,Healthcare,Small-Cap,February-2026,63627,8.70
Emcure Pharmaceuticals Ltd.,Healthcare,Small-Cap,February-2026,56422,8.24
Indegene Ltd.,Miscellaneous,Small-Cap,February-2026,167857,8.21
Tega Industries Ltd.,Capital Goods,Small-Cap,February-2026,46659,8.19
Pitti Engineering Ltd.,Capital Goods,Small-Cap,February-2026,95104,8.06
Venus Pipes & Tubes Ltd.,Metals,Small-Cap,February-2026,74667,7.97
CreditAccess Grameen Ltd.,Financials,Small-Cap,February-2026,60909,7.89
